intern_id,department,attendance_rate,task_completion_rate,avg_feedback_score,hours_per_week,final_assessment_score,interaction_level,performance_label
"""INT1029",Design,78.20172290038776,96.26322806212043,4.65,34.82096190226652,87.71362555176134,High,0
"""INT1030",Marketing,93.80915169033246,80.0939935987261,4.59,31.55993760422721,86.73125724245479,Low,1
"""INT1031",Design,84.03653368505708,63.301654152844094,2.74,32.76945684594056,67.61474915022406,Low,0
"""INT1032",Design,88.06698373659435,69.8276143542947,4.51,38.86214892201681,63.85480607640122,High,0
"""INT1033",Tech,79.49283211881425,90.1577471467464,2.51,34.86893661758325,68.26532956262798,Medium,0
"""INT1034",Marketing,78.8363457081766,88.00730105377853,2.59,22.27888185431523,82.23783032158956,Low,0
"""INT1035",Finance,87.85555889540397,99.50995050148406,2.33,33.23425843130376,78.73913511513801,High,0
"""INT1036",Marketing,86.26062328003405,97.08941336710022,4.57,37.6583731513295,65.85448609145382,Medium,0
"""INT1037",Finance,92.77986678308068,65.70543462592688,2.32,35.914385082071675,87.92438553710521,Medium,0
"""INT1038",Tech,98.01592998003991,100.0,2.41,29.89727638930997,61.696668625294976,Medium,0
"""INT1039",HR,78.08587795723595,64.60735538054807,2.74,31.269554221451987,68.73019983923601,High,0
"""INT1040",Design,93.6118453776378,88.92192059864911,3.72,25.256801414675643,77.50889701881273,High,1
"""INT1041",Tech,74.20193832306838,100.0,4.64,37.74684203358406,85.0027661239646,Medium,0
"""INT1042",Design,100.0,84.68727497295956,3.25,38.10899874899583,88.90008009025678,Medium,0
"""INT1043",HR,77.13695946861671,53.318274051272255,3.64,34.33303419241591,78.65604651345564,Low,0
"""INT1044",HR,91.9063056975676,75.11153573171188,2.5,33.248408887129926,60.15328992504951,High,0
"""INT1045",Tech,74.12759661255335,100.0,2.8,29.59264780744607,87.7059061433168,High,0
"""INT1046",HR,83.47909113853201,76.89354782695045,2.4,36.66186747896867,62.49995531167978,Medium,0
"""INT1047",Finance,100.0,99.90491050231864,3.23,26.78908322515988,69.24654591864439,High,0
"""INT1048",HR,76.82295848013928,65.65064551838456,3.77,38.88413082529833,63.17975669456439,High,0
"""INT1049",Design,100.0,74.66483979127932,2.85,37.89588624563698,73.91038497577956,Medium,0
"""INT1050",Design,84.94724402890954,76.76444033407084,4.54,40.840921507706966,62.751872592517216,High,0
"""INT1051",Design,94.75712537982666,100.0,4.94,35.25174025147405,80.66678983152146,Low,1
"""INT1052",Design,89.02944573503603,75.41090219316726,2.36,32.4000390316999,79.98249630934724,High,0
"""INT1053",Finance,89.57040065596367,51.71836740763922,2.05,37.160915364180525,84.0455218802346,Low,0
"""INT1054",Marketing,70.73886282856895,100.0,4.37,38.90458626882031,78.42152755076063,Medium,0
"""INT1055",Tech,80.27147207021955,83.41200901821047,2.57,29.211551865033385,77.68210409438194,High,0
"""INT1056",Design,96.95976462483704,89.8199594409727,3.06,34.65384267013337,63.23441011502039,Medium,0
"""INT1057",HR,81.55678798230002,55.89713080455736,3.18,36.326818703968144,66.86364958875879,High,0
"""INT1058",Design,86.38832082717813,83.86646830112828,4.75,37.40650047856596,73.78347337157513,Low,1
"""INT1059",HR,69.5257787163085,80.28645068468137,3.98,33.23851066758187,74.7893212897388,Medium,0
"""INT1060",HR,79.62423058999256,65.50612418509957,2.12,38.155084933158456,70.99334896019992,Low,0
"""INT1061",Design,96.23039297631465,90.01934067381649,2.04,30.19903719786405,81.67875200520655,Low,0
"""INT1062",Finance,72.17370568073059,54.404372506977225,2.6,45.0902133331918,100.0,Medium,0
"""INT1063",HR,92.17079036996164,65.40044162460835,2.95,31.87810278182449,79.85817428046651,Medium,0
"""INT1064",HR,86.77778138584985,98.17931078997223,3.45,37.0388574278356,66.95328793081863,Medium,0
"""INT1065",Design,82.64044513976822,69.11248543793813,4.51,32.23731092692241,84.37705840884477,Medium,0
"""INT1066",HR,82.20075457677993,72.5996304641223,2.94,35.489933529877106,67.51859750375161,Medium,0
"""INT1067",HR,80.08970301922012,81.35000424465986,3.13,29.6037889387834,79.24900119972554,Medium,0
"""INT1068",Design,80.98029027943038,74.42079102958144,2.99,40.37786650777152,80.69159214328684,Low,0
"""INT1069",Design,94.29740224811157,90.36330693143576,2.03,30.91307051978611,77.7723244983052,Medium,0
"""INT1070",Tech,80.67956185755226,82.63967133508422,4.87,35.40796840035374,67.87660047721225,Medium,0
"""INT1071",Finance,100.0,57.40033816619369,2.42,34.68060740227782,75.89870971177336,Medium,0
"""INT1072",Finance,87.99532503043211,68.9768890003947,2.86,31.491682790863955,68.9661982627815,High,0
"""INT1073",HR,79.23738070971727,67.35442210342889,2.39,22.274104868687704,68.91163392009567,Medium,0
"""INT1074",Finance,94.73365952485614,73.04887498252242,3.47,40.29700449089431,55.200967734684056,High,0
"""INT1075",HR,91.23895943076576,81.67965149121126,4.8,35.721905419920965,73.52380539492022,High,1
"""INT1076",Tech,68.45823559772342,84.59431475969595,2.3,26.2984856904513,100.0,High,0
"""INT1077",Design,74.65528642982463,44.48091101849562,3.32,25.433556594068907,44.96945130092462,Medium,0
"""INT1078",Design,83.84579698797587,95.37589088937844,2.07,33.38973303994148,48.30976248503987,Low,0
"""INT1079",Design,69.16392065579802,78.63698478713901,4.31,34.58765922983756,75.6897778071593,High,0
"""INT1080",Finance,100.0,63.19402832148789,3.92,33.925197800697056,84.00644453319997,Low,0
"""INT1081",Tech,93.22232182039342,94.28480603496229,4.1,42.21968381848781,58.86106245530744,Low,0
"""INT1082",Finance,84.86667152963538,48.41628753192609,3.42,26.65216335543752,77.5936128422422,High,0
"""INT1083",Finance,81.57293446386737,56.364136055026776,4.72,36.06146163206972,73.0619171555512,Medium,0
"""INT1084",Tech,79.00336345641001,100.0,3.23,38.22815533588022,67.77098052515812,Medium,0
"""INT1085",Tech,65.3596784202909,82.19458961810318,3.54,38.12232566416934,79.57601606144455,High,0
"""INT1086",Tech,67.6712634835437,68.94129994435966,4.09,39.46926030764855,62.91015918242249,High,0
"""INT1087",Tech,100.0,81.62747508894644,3.56,35.584529369138785,87.21369088544182,Medium,1
"""INT1088",Design,100.0,77.27645818710332,2.57,36.23064211332161,52.044847238357086,Medium,0
"""INT1089",Marketing,79.2422224507596,80.53663227943677,2.95,33.350784834877444,74.01140138981307,Medium,0
"""INT1090",Marketing,94.07999156182456,87.33701730611804,2.28,27.451837167226948,76.28933889289867,High,0
"""INT1091",Tech,90.06420774997031,77.02962651561948,3.3,36.64395647468234,73.00327111466328,High,0
"""INT1092",Marketing,91.24287956648844,85.32036479059036,3.83,32.9867882055187,68.84622574536279,Low,0
"""INT1093",Marketing,70.74822235499295,77.62963279870579,2.36,31.28001732949589,82.54659397033907,Medium,0
"""INT1094",Tech,66.9182207746984,67.68699098885307,3.89,36.86247213014563,70.10023840960477,Medium,0
"""INT1095",Marketing,96.8259435906989,63.40897320557433,4.68,37.30731509454584,56.78655379395804,High,0
"""INT1096",Finance,65.2070169696317,99.78614287052412,3.01,31.471435114895357,66.79965478600941,Medium,0
"""INT1097",HR,83.51806458617484,89.71111289899653,2.67,36.25004379385883,76.14728306382266,Low,0
"""INT1098",HR,81.32297673782213,95.55593434646642,4.68,34.593860834236715,68.42774412523714,Medium,0
"""INT1099",Tech,80.39849038323591,80.0564960526238,4.08,35.9494483052659,71.10266208729915,High,1
"""INT1100",Design,88.14450822290657,83.38506448944781,2.32,41.26783848310054,84.27793443095874,High,0
"""INT1101",Tech,78.22407570221549,77.32453404179779,3.22,37.21265085404828,67.83681810031463,Medium,0
"""INT1102",Design,88.95735462465048,97.36236096803748,4.02,36.834785103700405,73.85886645004007,Medium,1
"""INT1103",HR,86.41155414691195,74.82730949618666,3.72,30.57394832595641,72.65449662967215,Low,0
"""INT1104",Tech,100.0,65.2395287412433,3.86,31.27825527275254,87.89370126607056,Medium,0
"""INT1105",Finance,71.14590608181871,87.81916058324319,3.7,37.40777233844543,75.58431584576233,Low,0
"""INT1106",Marketing,85.29268983904826,77.71796169809637,4.39,27.06170443042792,84.61479030108254,High,1
"""INT1107",Design,89.31345099877764,83.7487849103651,2.96,33.21804397238991,66.3631530744267,Medium,0
"""INT1108",Marketing,82.43597444467704,90.66688640162968,4.13,31.18373506165321,96.0362119850242,High,1
"""INT1109",Marketing,71.62924892112162,71.31313936796677,4.97,34.28897006695284,84.96758280272023,High,0
"""INT1110",Tech,97.57102780655194,76.71616589881982,3.17,33.92176812397519,94.89584650152436,Medium,0
"""INT1111",Marketing,88.36934330144052,75.34383442610036,4.37,35.65289495561511,77.39295610577146,Medium,1
"""INT1112",Finance,72.33103287073406,99.30186503679516,2.74,37.32571930182554,67.73028582733527,High,0
"""INT1113",Marketing,89.3866796255826,80.21479261695845,2.85,39.83303461278979,72.26511539699405,Medium,0
"""INT1114",Tech,100.0,82.34565787988925,4.8,40.20899540366835,77.51559440720844,Medium,1
"""INT1115",Finance,84.6368406658408,62.65339589552876,2.08,33.81440298230384,77.35768788290703,Medium,0
"""INT1116",HR,84.97787330529438,90.96191885470547,2.65,32.045449231995576,70.09055922406829,Low,0
"""INT1117",Marketing,100.0,86.42161090177453,3.45,31.061171752037247,74.83183194289562,Medium,0
"""INT1118",Tech,75.29616018248747,67.47142452312426,3.21,33.38801585735298,78.05524994032614,Low,0
"""INT1119",HR,100.0,100.0,3.89,30.060842277289897,65.22674123845013,Low,0
"""INT1120",HR,94.72911070368237,85.05791633762843,2.58,37.34826039556353,70.58029627313186,Medium,0
"""INT1121",Design,75.75781036019984,70.64584414091537,2.21,40.11732029791533,91.05176176733607,High,0
"""INT1122",Finance,78.31731000155885,79.95721593990277,3.11,27.376893769401065,89.40420231006668,Medium,0
"""INT1123",Marketing,79.7518716631771,74.47140636040042,3.57,35.047426389485096,65.4733381399669,Low,0
"""INT1124",Tech,66.6643578601291,100.0,3.69,42.779767870280274,97.72543128284268,Medium,0
"""INT1125",Design,87.60471749070881,93.99771158543317,3.8,27.591959780488,65.44318124889293,Low,0
"""INT1126",Finance,76.21052996752147,86.81052643813446,3.65,42.386166563296605,79.88453717192728,Medium,0
"""INT1127",Design,87.96551321431305,100.0,2.74,30.70097720695036,90.94423226491328,High,0
"""INT1128",Finance,72.09056749674784,64.42653904262119,4.29,31.96408292536545,65.43398570011318,Low,0
"""INT1129",Finance,94.230132368945,91.63846323487198,2.26,38.08782148875453,61.466456396607605,Low,0
"""INT1130",Marketing,92.37625930130504,88.2087566460108,2.6,37.537890768842686,80.88673922561684,Medium,0
"""INT1131",Finance,77.94120985939784,76.54320647417279,4.22,34.472965554339986,74.14293425397231,Medium,0
"""INT1132",Design,88.59649157882116,76.61018975733066,2.84,31.182821157866982,70.83735032140966,Medium,0
"""INT1133",Finance,85.82920559309579,93.84767458434376,3.48,28.780419636749816,58.73609558879764,Medium,0
"""INT1134",Marketing,99.82299486152912,92.74832969331337,2.98,34.616784095155346,90.80604463239666,Medium,0
"""INT1135",Marketing,74.67521032105128,58.666097266847466,3.52,33.93850696277208,78.01965544445758,High,0
"""INT1136",Design,83.47702021505853,100.0,3.04,31.03864404497761,83.25128256186892,High,0
"""INT1137",HR,78.59316363292227,97.14138047624218,4.98,33.7223085733207,88.9807843715972,Medium,0
"""INT1138",HR,85.44818197100167,75.77692084763929,3.07,36.25446139685141,54.14782984563931,High,0
"""INT1139",Finance,90.33273602783594,68.13125705348648,3.88,40.34934204270073,77.1479727483947,Low,0
"""INT1140",Tech,78.4819262192629,96.65668916283948,4.67,35.97531402744316,56.80849224430593,Low,0
"""INT1141",Finance,81.35893778610787,87.44601495468042,3.91,34.12192447434503,84.00876090844062,Medium,1
"""INT1142",Design,94.66040798057362,90.74611086948563,3.7,30.88279011296532,91.15844957254532,Medium,1
"""INT1143",Design,98.57324661926442,88.56281846172652,3.71,31.277665052207176,73.92806630372398,High,1
"""INT1144",Design,89.93516035202879,98.2182116300744,3.49,36.08222672993206,74.17125574307563,Medium,0
"""INT1145",Design,83.6203690125684,92.83904688050112,4.42,36.35374488096104,81.8921504416931,Low,1
"""INT1146",Design,82.66903078962851,71.99184176489712,2.15,33.88875304212037,80.71037680185862,High,0
"""INT1147",Marketing,90.4812632872729,71.11311686324865,4.66,39.525383657685545,72.34668803410236,Medium,0
"""INT1148",HR,87.27767001404872,85.3392682226649,3.76,35.29418479060056,83.48840971208861,Medium,1
"""INT1149",Design,68.51024162108698,100.0,4.55,32.56805701754975,72.17228265084519,Medium,0
"""INT1150",Tech,90.72385232307904,77.75320674319846,2.03,31.72479037373457,78.67546914040908,Low,0
"""INT1151",Tech,76.39430210577439,85.44683024278172,4.61,31.389276616044405,59.95159913289048,High,0
"""INT1152",Tech,70.83063591524348,93.4189230044226,2.36,37.40013499701968,88.81585900675798,Medium,0
"""INT1153",Tech,68.31655111891274,73.7118449047147,4.16,31.89328647317868,64.53310443150708,Medium,0
"""INT1154",Marketing,82.83895628816681,91.9622617269825,3.25,35.53783853653412,78.80083644576948,High,0
"""INT1155",Tech,74.83475637817398,80.20967935429528,4.04,30.757550358372782,61.47740306947816,Low,0
"""INT1156",Design,61.73638440260802,98.7484475381898,3.88,34.16486803697009,69.67949873486965,Medium,0
"""INT1157",Finance,81.4154449316319,65.8311846384752,2.49,34.72730383686298,68.80551114888837,Medium,0
"""INT1158",Tech,80.09429165114135,100.0,3.54,46.82070734133789,81.26695877289956,Low,1
"""INT1159",Marketing,83.5009888534162,75.3126297824055,2.83,28.46449049391831,92.73758634899026,Low,0
"""INT1160",Marketing,78.71102045957623,87.82198045552795,3.68,39.04332300136694,65.83634187654377,Low,0
"""INT1161",Tech,100.0,80.07321860927888,4.21,31.157173108490564,64.0520509334304,Medium,0
"""INT1162",Finance,90.1733729468364,63.82022011323375,2.24,41.74870356013081,87.47737036069972,Medium,0
"""INT1163",Tech,80.00386676378523,92.4988344889813,3.55,31.50986236420874,66.43671859003585,High,0
"""INT1164",Marketing,84.36373162552637,76.03531562485625,3.85,40.18118473937747,100.0,Medium,1
"""INT1165",HR,99.14642667495347,87.88579708830585,2.89,36.1087114090696,62.27424903798681,High,0
"""INT1166",Design,94.56622811735492,67.92302017421119,4.86,28.34314088201772,83.71148855281976,Medium,0
"""INT1167",Marketing,71.03788185624967,76.10275199160644,3.56,35.993634678550336,56.560200095004845,Low,0
"""INT1168",Tech,75.2570943917337,75.58325829462648,2.55,37.57794496769596,62.79607755945627,Medium,0
"""INT1169",Design,77.1815312597666,88.25922445663655,2.32,37.93822887926572,63.24218251369555,High,0
"""INT1170",Tech,80.60300049064192,84.61765749375785,3.62,33.81532282466739,67.82714740204472,Low,0
"""INT1171",Tech,79.04576797123957,77.35109459303939,3.13,47.97314456359133,84.93813157799043,Medium,0
"""INT1172",HR,85.34009254861077,74.45083732154416,2.58,44.73043195742031,74.53461377032913,Low,0
"""INT1173",Design,92.35721311018888,84.7236519774785,2.09,36.69066199172861,88.70057225237638,Medium,0
"""INT1174",Design,94.02660289382486,82.9657306198688,3.7,28.41934201720708,84.68293806482318,High,1
"""INT1175",HR,81.7320265710071,81.93384968824967,3.8,29.998564839614595,63.10072919451422,Medium,0
"""INT1176",Marketing,68.65306481245604,100.0,2.43,33.65516739327679,73.71630503751021,Medium,0
"""INT1177",Tech,74.59590058128258,88.27904509824609,3.81,34.519934247174994,89.6843232779794,Medium,0
"""INT1178",Finance,79.8022521036997,100.0,4.86,30.869401667411772,64.74768560066879,High,0
"""INT1179",Tech,72.54965540748643,78.95741075031468,4.93,32.28133274088224,81.88996521094201,High,0
"""INT1180",Tech,96.40858986701612,79.273801111819,4.67,25.05574200037993,66.29901334122407,Low,0
"""INT1181",Marketing,73.20458941419272,72.41869947417587,4.42,24.19350094059697,63.56879371716495,Low,0
"""INT1182",Tech,91.17063044735202,84.52861057300309,2.63,35.068793126294175,71.42343211842363,Medium,0
"""INT1183",HR,68.18119644977462,75.11505168026,2.47,42.961951458604666,61.69141784193046,Medium,0
"""INT1184",HR,91.57201101296052,72.97763487728633,3.33,27.24453606346816,89.91396052634234,Medium,0
"""INT1185",Design,83.60731293332414,51.49548748373949,3.86,33.93313158913848,41.09207172138399,Medium,0
"""INT1186",Finance,100.0,100.0,4.55,34.90754575483312,81.24276341058909,Medium,1
"""INT1187",Tech,73.6843739345367,74.25102967496316,2.7,36.86375346530439,81.185654772146,Medium,0
"""INT1188",Tech,79.35885199388406,100.0,3.44,32.44812337261485,69.51523361638927,Medium,0
"""INT1189",Marketing,81.2956739858956,78.55628681082447,3.94,29.499129941224577,50.985629910210776,High,0
"""INT1190",HR,83.47499929849688,89.66877339606974,3.34,38.228886282650585,80.45994443199899,Medium,0
"""INT1191",Finance,81.54019169097509,81.11448444162072,3.36,25.22941697784382,69.63484816349539,High,0
"""INT1192",Design,81.73321434091014,86.22050770975918,2.68,36.90894694584176,67.5175590591223,Low,0
"""INT1193",HR,81.56937456614337,64.86445754497254,4.96,30.980403724336803,89.29152187756355,Low,0
"""INT1194",Design,64.28820117419534,97.73525197983405,3.43,36.21923554243868,92.611471252516,High,0
"""INT1195",Marketing,94.93334501607768,74.49739523389292,3.6,40.80254898071717,68.89397187730222,Medium,0
"""INT1196",Marketing,100.0,93.88514953416144,2.66,31.56829907156543,65.70453859425486,Medium,0
"""INT1197",Tech,87.98271104600988,58.08994426223013,3.54,33.159114199110334,41.948889804554895,Medium,0
"""INT1198",Finance,73.64249152141706,68.6823627977922,2.77,32.8970301201719,55.80769316157611,Low,0
"""INT1199",Design,74.65461369151713,85.57673150117412,2.61,46.39237118719458,65.58681508199058,Medium,0
"""INT1200",HR,91.13174001891568,77.54550506525098,2.83,34.36011143262684,87.9049617858533,Medium,0
"""INT1201",Marketing,88.85469475848244,86.85294884552692,2.01,34.13071540756728,80.42271085662931,Medium,0
"""INT1202",Tech,82.15709889446661,83.11375418143066,3.71,34.56755733362196,87.6966333840196,Low,1
"""INT1203",Tech,92.53404370879186,100.0,3.16,41.76446063229567,83.33146350599586,Medium,0
"""INT1204",Design,64.36114953245509,88.10517371804626,4.7,31.8101779070844,75.0092219048661,Medium,0
"""INT1205",Marketing,92.54062127231124,73.50979252246063,2.12,38.96665517506729,76.14111210145168,High,0
"""INT1206",Finance,87.37761164594893,74.1014546049925,2.13,31.20499160277086,81.45519486354668,Medium,0
"""INT1207",Marketing,75.04052009216768,98.0619161069518,4.66,30.858104188168003,72.32174903098485,Medium,0
"""INT1208",Design,70.66676071619315,57.07487626755679,2.38,36.8541095258897,78.80579951568629,High,0
"""INT1209",Design,86.21327282745628,88.38792486063,2.01,41.07113867214067,79.34173246781151,Medium,0
"""INT1210",Marketing,99.07238136767764,63.26329464761039,2.54,33.08335674518426,77.91903538470332,Medium,0
"""INT1211",Design,82.71906768002965,96.63841303901312,4.47,33.04814013379837,68.1942012004876,Medium,0
"""INT1212",Marketing,76.4731498376716,73.51650721501437,4.41,38.176158895393954,91.06167427921775,High,0
"""INT1213",HR,86.91288260136253,87.89354002778,3.02,34.94675123960727,90.89651192431543,Medium,0
"""INT1214",Marketing,100.0,80.55789917931004,4.0,38.40000507853977,59.83689616252646,Low,0
"""INT1215",Marketing,89.31299813063717,59.19956338598657,3.52,26.87317582989344,50.76245435162622,Medium,0
"""INT1216",Design,90.39401988209409,89.60479933241749,4.71,29.80329754878707,69.70326468297415,Medium,0
"""INT1217",Design,97.22798635970555,69.1870062525031,2.17,34.69186664067279,65.39568276089719,Medium,0
"""INT1218",Tech,89.72557399383822,92.02775723376078,4.44,37.25911078766397,55.24313316610595,Medium,0
"""INT1219",Tech,77.19030292839845,64.97000272736098,2.51,34.350692292296195,70.48519996788514,Medium,0
"""INT1220",HR,67.55435048101964,83.63098432031468,3.17,35.39922106778394,92.12471284740391,Medium,0
"""INT1221",Tech,75.78346880221737,80.58596766101036,2.58,38.032773665141136,80.48668518296971,Medium,0
"""INT1222",Marketing,73.95273694902325,70.96124280228939,4.11,28.76657195341365,84.82893113750714,Medium,0
"""INT1223",Design,91.59308119511329,100.0,4.03,38.03186139117824,90.8723744128593,High,1
"""INT1224",Tech,92.98348051349107,80.50313140737204,3.64,40.253080445044446,84.25526307292199,High,1
"""INT1225",Tech,86.75572061715488,73.67517849209669,4.09,33.28579218945236,73.01693253312902,Medium,0
"""INT1226",HR,72.31308023156826,84.48132919361343,3.92,30.694328784269945,89.01922351078778,High,0
"""INT1227",HR,100.0,58.16477410109727,4.33,39.4438927914193,65.41298540124546,Low,0
"""INT1228",Marketing,80.83789786160412,100.0,2.72,43.597620570652815,56.7685071879028,Medium,0
"""INT1229",Design,91.03481010301536,63.71456402005037,3.29,35.738922717059275,91.79003423447762,Low,0
"""INT1230",HR,85.49324836699559,88.2768667858258,2.45,30.585463064288493,93.45275092822628,High,0
"""INT1231",Tech,87.08663483249914,80.91675954046426,3.29,34.97077199796412,70.09830356687844,High,0
"""INT1232",Design,90.68184003340396,97.70642535871904,4.11,30.831262163836048,68.58774342354047,Medium,0
"""INT1233",Design,78.03979838399049,82.66881515118736,4.07,38.58049993056769,81.70127058496445,Medium,0
"""INT1234",Tech,98.05402426265168,70.42560612333028,4.13,34.74693902564616,61.84439226211882,High,0
"""INT1235",HR,69.20494582912727,52.13035962660895,2.93,30.360186767994414,72.11746678848056,Medium,0
"""INT1236",Tech,74.61443693964115,53.29845144315623,3.99,35.997132218606644,77.81481129924644,High,0
"""INT1237",Design,97.92429374337082,76.42970569824564,3.1,31.72312285398314,66.70541482562933,Low,0
"""INT1238",Finance,90.90004761104473,100.0,4.83,28.424702482839685,88.19247342946412,Medium,1
"""INT1239",Finance,100.0,54.917764467142256,3.03,38.79638678499055,78.08644687356757,High,0
"""INT1240",Marketing,85.68350443653131,100.0,3.81,36.49315591424651,73.3648271702314,Medium,1
"""INT1241",Tech,100.0,96.30406850049047,4.25,32.65424911430757,86.79153832033987,Medium,1
"""INT1242",Tech,66.42521217336596,59.76923417337736,4.72,41.360365714224976,76.81824737409205,Medium,0
"""INT1243",Marketing,70.86485026802805,63.72231421801827,3.31,31.26631411891561,66.41822071523167,High,0
"""INT1244",Marketing,93.95525537416974,65.23358119208666,3.08,32.8265890730691,90.175977100997,Medium,0
"""INT1245",Marketing,67.59632174385516,84.48930721912309,3.29,36.87524250790264,74.69005981361919,Medium,0
"""INT1246",Design,83.0263239299051,79.15674781807292,2.97,39.38132527071614,40.0,Low,0
"""INT1247",Tech,96.67209083647158,78.59558321047086,3.96,36.95484921365921,78.3667398321395,Medium,1
"""INT1248",Design,90.01171264488669,72.43052016224615,4.8,32.18021506483892,51.97012215729546,High,0
"""INT1249",Marketing,85.1109522031958,82.67283908032724,2.38,33.813242830012605,100.0,High,0
"""INT1250",Tech,80.50892531170685,92.5569961987786,3.68,31.773477992169155,79.34760972928032,High,1
"""INT1251",Design,87.02225874591964,78.0770263872177,4.69,33.33836464169817,79.34763181342791,Medium,1
"""INT1252",Design,90.7724837237553,70.05988922098236,2.3,33.71691332468594,84.0292120691209,High,0
"""INT1253",Marketing,78.39105663013817,94.88161131727269,3.48,37.0814266188643,53.60453188715162,Medium,0
"""INT1254",Tech,88.71736028012047,76.67977747416982,4.6,31.5499288379068,79.77277834574733,Medium,1
"""INT1255",Marketing,95.78430744198712,88.27954045077351,4.7,39.774077090472325,62.82057878073645,High,0
"""INT1256",Tech,82.77521866700141,78.50153631100274,3.54,34.87511738737482,70.10567305333709,High,1
"""INT1257",Finance,85.68122850140652,96.2756272695959,2.07,30.73046229584407,80.23113708770143,Low,0
"""INT1258",HR,89.83778834002777,98.4986447372863,2.32,36.94302189876819,68.34978261140188,High,0
"""INT1259",HR,90.51334216089744,97.97450658901911,3.76,34.399337963805664,51.95566232541259,High,0
"""INT1260",HR,93.7845357299844,71.72185923221305,2.37,32.6995964514632,80.75188677466477,High,0
"""INT1261",Marketing,74.8562504401805,71.56823611886091,2.45,42.08257528503714,83.5787325954747,High,0
"""INT1262",Finance,79.7107749761469,93.10608227136998,4.32,33.43674607719934,61.73973990775788,Medium,0
"""INT1263",Tech,80.08121307950346,79.03133182020868,4.25,32.72960238320014,65.5499479904323,High,0
"""INT1264",Design,75.96087834837323,79.48696112853153,4.53,39.80350389350534,72.6303863460069,Medium,0
"""INT1265",Tech,67.01586078642185,69.57630833665827,2.32,37.51934406141384,98.05748897398558,Medium,0
"""INT1266",Design,52.45521058702292,100.0,2.59,38.77212224118126,95.77533692151864,Medium,0
"""INT1267",Tech,96.9545271175298,95.60738956594732,4.5,32.184596773575485,88.07097340403737,High,1
"""INT1268",Finance,69.46106995552458,78.21528212825073,4.16,36.09959302563785,99.90862188438304,High,0
"""INT1269",Design,100.0,70.31910358117835,4.42,28.068079189798127,87.92809244426752,High,0
"""INT1270",Marketing,92.39409488616462,69.65507423797227,4.97,25.397765035407467,78.27119658947046,Low,0
